ACTIVITY_INSTANCE_NAME,ACTIVITY_ITEM_CLASS_NAME,ACTIVITY_ITEM_TYPE,ACTIVITY_ITEM_VALUE,IS_ADAM_PARAM_SPECIFIC
"Amylase, Biochemistry",numeric_finding_original_result,,,
"Amylase, Biochemistry",numeric_finding_original_result_unit,,,
"Amylase, Biochemistry",specimen,,,
"Amylase, Biochemistry",domain,terms,DOMAIN:LB,
"Amylase, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Amylase, Biochemistry",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Amylase, Biochemistry",standard_unit,units,U/L,
"Amylase, Biochemistry",loinc,,,
"Amylase, Biochemistry",test_code,terms,LBTESTCD:AMYLASE,
"Amylase, Biochemistry",test_name,terms,LBTEST:Amylase,
"Alkaline Phosphatase, Biochemistry",numeric_finding_original_result,,,
"Alkaline Phosphatase, Biochemistry",numeric_finding_original_result_unit,,,
"Alkaline Phosphatase, Biochemistry",specimen,,,
"Alkaline Phosphatase, Biochemistry",domain,terms,DOMAIN:LB,
"Alkaline Phosphatase, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Alkaline Phosphatase, Biochemistry",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Alkaline Phosphatase, Biochemistry",standard_unit,units,U/L,
"Alkaline Phosphatase, Biochemistry",loinc,,,
"Alkaline Phosphatase, Biochemistry",test_code,terms,LBTESTCD:ALP,
"Alkaline Phosphatase, Biochemistry",test_name,terms,LBTEST:Alkaline Phosphatase,
"Aspartate Aminotransferase, AE Requiring Additional Data",numeric_finding_original_result,,,
"Aspartate Aminotransferase, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Aspartate Aminotransferase, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Aspartate Aminotransferase, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Aspartate Aminotransferase, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Aspartate Aminotransferase, AE Requiring Additional Data",standard_unit,units,U/L,
"Aspartate Aminotransferase, AE Requiring Additional Data",test_code,terms,LBTESTCD:AST,
"Aspartate Aminotransferase, AE Requiring Additional Data",test_name,terms,LBTEST:Aspartate Aminotransferase,
"Aspartate Aminotransferase, Biochemistry",numeric_finding_original_result,,,
"Aspartate Aminotransferase, Biochemistry",numeric_finding_original_result_unit,,,
"Aspartate Aminotransferase, Biochemistry",specimen,,,
"Aspartate Aminotransferase, Biochemistry",domain,terms,DOMAIN:LB,
"Aspartate Aminotransferase, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Aspartate Aminotransferase, Biochemistry",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Aspartate Aminotransferase, Biochemistry",standard_unit,units,U/L,
"Aspartate Aminotransferase, Biochemistry",loinc,,,
"Aspartate Aminotransferase, Biochemistry",test_code,terms,LBTESTCD:AST,
"Aspartate Aminotransferase, Biochemistry",test_name,terms,LBTEST:Aspartate Aminotransferase,
BG Super GL Analyzer,numeric_finding_original_result,,,
BG Super GL Analyzer,numeric_finding_original_result_unit,,,
BG Super GL Analyzer,domain,terms,DOMAIN:LB,
BG Super GL Analyzer,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
BG Super GL Analyzer,unit_dimension,terms,UNITDIM:CONCENTRATION,
BG Super GL Analyzer,standard_unit,units,mmol/L,
BG Super GL Analyzer,molecular_weight,,,
BG Super GL Analyzer,test_code,terms,LBTESTCD:GLUC,
BG Super GL Analyzer,test_name,terms,LBTEST:Glucose,
"Direct Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,,,
"Direct Bilirubin, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Direct Bilirubin, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Direct Bilirubin, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Direct Bilirubin, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Direct Bilirubin, AE Requiring Additional Data",standard_unit,units,umol/L,
"Direct Bilirubin, AE Requiring Additional Data",molecular_weight,,,
"Direct Bilirubin, AE Requiring Additional Data",test_code,terms,LBTESTCD:BILDIR,
"Direct Bilirubin, AE Requiring Additional Data",test_name,terms,LBTEST:Direct Bilirubin,
"Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,,,
"Bilirubin, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Bilirubin, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Bilirubin, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Bilirubin, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Bilirubin, AE Requiring Additional Data",standard_unit,units,umol/L,
"Bilirubin, AE Requiring Additional Data",molecular_weight,,,
"Bilirubin, AE Requiring Additional Data",test_code,terms,LBTESTCD:BILI,
"Bilirubin, AE Requiring Additional Data",test_name,terms,LBTEST:Bilirubin,
"Indirect Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,,,
"Indirect Bilirubin, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Indirect Bilirubin, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Indirect Bilirubin, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Indirect Bilirubin, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Indirect Bilirubin, AE Requiring Additional Data",standard_unit,units,umol/L,
"Indirect Bilirubin, AE Requiring Additional Data",molecular_weight,,,
"Indirect Bilirubin, AE Requiring Additional Data",test_code,terms,LBTESTCD:BILIND,
"Indirect Bilirubin, AE Requiring Additional Data",test_name,terms,LBTEST:Indirect Bilirubin,
"Bilirubin, Biochemistry",numeric_finding_original_result,,,
"Bilirubin, Biochemistry",numeric_finding_original_result_unit,,,
"Bilirubin, Biochemistry",specimen,,,
"Bilirubin, Biochemistry",domain,terms,DOMAIN:LB,
"Bilirubin, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Bilirubin, Biochemistry",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Bilirubin, Biochemistry",standard_unit,units,umol/L,
"Bilirubin, Biochemistry",molecular_weight,,,
"Bilirubin, Biochemistry",loinc,,,
"Bilirubin, Biochemistry",test_code,terms,LBTESTCD:BILI,
"Bilirubin, Biochemistry",test_name,terms,LBTEST:Bilirubin,
Bilirubin Urine,categoric_finding_original_result,,,
Bilirubin Urine,specimen,,,
Bilirubin Urine,domain,terms,DOMAIN:LB,
Bilirubin Urine,finding_category,terms,FINDCAT:URINALYSIS,
Bilirubin Urine,test_code,terms,LBTESTCD:BILI,
Bilirubin Urine,test_name,terms,LBTEST:Bilirubin,
Have All Blood Samples Been Taken,categoric_finding_original_result,,,
Have All Blood Samples Been Taken,specimen,,,
Have All Blood Samples Been Taken,domain,terms,DOMAIN:LB,
Have All Blood Samples Been Taken,finding_category,terms,FINDCAT:COLLECTION OF SAMPLES,
Have All Blood Samples Been Taken,test_code,terms,LBTESTCD:LBALL,
Have All Blood Samples Been Taken,test_name,terms,LBTEST:Have All Samples Been Taken,
Urea Nitrogen,numeric_finding_original_result,,,
Urea Nitrogen,numeric_finding_original_result_unit,,,
Urea Nitrogen,specimen,,,
Urea Nitrogen,domain,terms,DOMAIN:LB,
Urea Nitrogen,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Urea Nitrogen,unit_dimension,terms,UNITDIM:CONCENTRATION,
Urea Nitrogen,standard_unit,units,mg/dL,
Urea Nitrogen,molecular_weight,,,
Urea Nitrogen,test_code,terms,LBTESTCD:UREAN,
Urea Nitrogen,test_name,terms,LBTEST:Urea Nitrogen,
Body Temperature,numeric_finding_original_result,,,
Body Temperature,numeric_finding_original_result_unit,,,
Body Temperature,domain,terms,DOMAIN:VS,
Body Temperature,finding_category,terms,FINDCAT:VITAL SIGNS,
Body Temperature,unit_dimension,terms,UNITDIM:TEMPERATURE,
Body Temperature,location,terms,LOC:AXILLARY||RECTAL||SKIN||ORAL CAVITY||EAR,
Body Temperature,standard_unit,units,C,
Body Temperature,position,terms,POSITION:SUPINE,
Body Temperature,test_code,terms,VSTESTCD:TEMP,
Body Temperature,test_name,terms,VSTEST:Temperature,
Body Weight,numeric_finding_original_result,,,
Body Weight,numeric_finding_original_result_unit,,,
Body Weight,domain,terms,DOMAIN:VS,
Body Weight,finding_category,terms,FINDCAT:BODY MEASUREMENT,
Body Weight,unit_dimension,terms,UNITDIM:WEIGHT,
Body Weight,standard_unit,units,kg,
Body Weight,fasting_status,,,
Body Weight,test_code,terms,VSTESTCD:WEIGHT,
Body Weight,test_name,terms,VSTEST:Weight,
Diastolic Blood Pressure,numeric_finding_original_result,,,
Diastolic Blood Pressure,numeric_finding_original_result_unit,,,
Diastolic Blood Pressure,domain,terms,DOMAIN:VS,
Diastolic Blood Pressure,finding_category,terms,FINDCAT:VITAL SIGNS,
Diastolic Blood Pressure,unit_dimension,terms,UNITDIM:PRESSURE,
Diastolic Blood Pressure,laterality,terms,LAT:LEFT||RIGHT,
Diastolic Blood Pressure,location,terms,LOC:ARM,
Diastolic Blood Pressure,standard_unit,units,mmHg,
Diastolic Blood Pressure,position,terms,POSITION:SUPINE||SITTING,
Diastolic Blood Pressure,test_code,terms,VSTESTCD:DIABP,
Diastolic Blood Pressure,test_name,terms,VSTEST:Diastolic Blood Pressure,
Systolic Blood Pressure,numeric_finding_original_result,,,
Systolic Blood Pressure,numeric_finding_original_result_unit,,,
Systolic Blood Pressure,domain,terms,DOMAIN:VS,
Systolic Blood Pressure,finding_category,terms,FINDCAT:VITAL SIGNS,
Systolic Blood Pressure,unit_dimension,terms,UNITDIM:PRESSURE,
Systolic Blood Pressure,laterality,terms,LAT:LEFT||RIGHT,
Systolic Blood Pressure,location,terms,LOC:ARM,
Systolic Blood Pressure,standard_unit,units,mmHg,
Systolic Blood Pressure,position,terms,POSITION:SUPINE||SITTING,
Systolic Blood Pressure,test_code,terms,VSTESTCD:SYSBP,
Systolic Blood Pressure,test_name,terms,VSTEST:Systolic Blood Pressure,
Cause of Death,categoric_finding_original_result,,,
Cause of Death,domain,terms,DOMAIN:ZA,
Cause of Death,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Cause of Death,test_code,terms,ZATESTCD:CAUSEDEA,
Cause of Death,test_name,terms,ZATEST:Cause of Death,
CGM - Sensor Value,numeric_finding_original_result,,,
CGM - Sensor Value,numeric_finding_original_result_unit,,,
CGM - Sensor Value,domain,terms,DOMAIN:LB,
CGM - Sensor Value,finding_category,terms,FINDCAT:CGM,
CGM - Sensor Value,unit_dimension,terms,UNITDIM:CONCENTRATION,
CGM - Sensor Value,standard_unit,units,mmol/L,
CGM - Sensor Value,molecular_weight,,,
CGM - Sensor Value,test_code,terms,LBTESTCD:GLUC,
CGM - Sensor Value,test_name,terms,LBTEST:Glucose,
Imaging Findings Characteristic of Pancreatitis,categoric_finding_original_result,,,
Imaging Findings Characteristic of Pancreatitis,domain,terms,DOMAIN:ZA,
Imaging Findings Characteristic of Pancreatitis,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Imaging Findings Characteristic of Pancreatitis,test_code,terms,ZATESTCD:IMAGFIND,
Imaging Findings Characteristic of Pancreatitis,test_name,terms,ZATEST:Imaging Characteristic of Pancreatitis,
Is the Subject of Childbearing Potential,categoric_finding_original_result,,,
Is the Subject of Childbearing Potential,domain,terms,DOMAIN:RP,
Is the Subject of Childbearing Potential,test_code,terms,RPTESTCD:CHILDPOT,
Is the Subject of Childbearing Potential,test_name,terms,RPTEST:Childbearing Potential,
Classification of Myocardial Infarction,categoric_finding_original_result,,,
Classification of Myocardial Infarction,domain,terms,DOMAIN:ZA,
Classification of Myocardial Infarction,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Classification of Myocardial Infarction,test_code,terms,ZATESTCD:CLASSMYF,
Classification of Myocardial Infarction,test_name,terms,ZATEST:Classification of Myocardial Infarction,
Creatinine Clearance,numeric_finding_original_result,,,
Creatinine Clearance,numeric_finding_original_result_unit,,,
Creatinine Clearance,domain,terms,DOMAIN:LB,
Creatinine Clearance,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Creatinine Clearance,unit_dimension,terms,UNITDIM:FLOW,
Creatinine Clearance,standard_unit,units,mL/min,
Creatinine Clearance,test_code,terms,LBTESTCD:CREATCLR,
Creatinine Clearance,test_name,terms,LBTEST:Creatinine Clearance,
"Creatinine, Biochemistry",numeric_finding_original_result,,,
"Creatinine, Biochemistry",numeric_finding_original_result_unit,,,
"Creatinine, Biochemistry",specimen,,,
"Creatinine, Biochemistry",domain,terms,DOMAIN:LB,
"Creatinine, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Creatinine, Biochemistry",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Creatinine, Biochemistry",standard_unit,units,umol/L,
"Creatinine, Biochemistry",molecular_weight,,,
"Creatinine, Biochemistry",loinc,,,
"Creatinine, Biochemistry",test_code,terms,LBTESTCD:CREAT,
"Creatinine, Biochemistry",test_name,terms,LBTEST:Creatinine,
C-Reactive Protein,numeric_finding_original_result,,,
C-Reactive Protein,numeric_finding_original_result_unit,,,
C-Reactive Protein,domain,terms,DOMAIN:LB,
C-Reactive Protein,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
C-Reactive Protein,unit_dimension,terms,UNITDIM:CONCENTRATION,
C-Reactive Protein,standard_unit,units,mg/L,
C-Reactive Protein,molecular_weight,,,
C-Reactive Protein,test_code,terms,LBTESTCD:CRP,
C-Reactive Protein,test_name,terms,LBTEST:C Reactive Protein,
High Sensitive C-Reactive Protein,numeric_finding_original_result,,,
High Sensitive C-Reactive Protein,numeric_finding_original_result_unit,,,
High Sensitive C-Reactive Protein,specimen,,,
High Sensitive C-Reactive Protein,domain,terms,DOMAIN:LB,
High Sensitive C-Reactive Protein,finding_category,terms,FINDCAT:BIOCHEMISTRY,
High Sensitive C-Reactive Protein,unit_dimension,terms,UNITDIM:CONCENTRATION,
High Sensitive C-Reactive Protein,standard_unit,units,mg/L,
High Sensitive C-Reactive Protein,molecular_weight,,,
High Sensitive C-Reactive Protein,loinc,,,
High Sensitive C-Reactive Protein,test_code,terms,LBTESTCD:CRP,
High Sensitive C-Reactive Protein,test_name,terms,LBTEST:C Reactive Protein,
Cystatin C,numeric_finding_original_result,,,
Cystatin C,numeric_finding_original_result_unit,,,
Cystatin C,domain,terms,DOMAIN:LB,
Cystatin C,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Cystatin C,unit_dimension,terms,UNITDIM:CONCENTRATION,
Cystatin C,standard_unit,units,ug/L,
Cystatin C,molecular_weight,,,
Cystatin C,test_code,terms,LBTESTCD:CYSTATC,
Cystatin C,test_name,terms,LBTEST:Cystatin C,
C-Peptide,numeric_finding_original_result,,,
C-Peptide,numeric_finding_original_result_unit,,,
C-Peptide,specimen,,,
C-Peptide,domain,terms,DOMAIN:LB,
C-Peptide,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
C-Peptide,unit_dimension,terms,UNITDIM:CONCENTRATION,
C-Peptide,standard_unit,units,nmol/L,
C-Peptide,molecular_weight,,,
C-Peptide,test_code,terms,LBTESTCD:CPEPTIDE,
C-Peptide,test_name,terms,LBTEST:C-peptide,
C-Reactive Protein Plasma,numeric_finding_original_result,,,
C-Reactive Protein Plasma,numeric_finding_original_result_unit,,,
C-Reactive Protein Plasma,specimen,,,
C-Reactive Protein Plasma,domain,terms,DOMAIN:LB,
C-Reactive Protein Plasma,finding_category,terms,FINDCAT:BIOCHEMISTRY,
C-Reactive Protein Plasma,unit_dimension,terms,UNITDIM:CONCENTRATION,
C-Reactive Protein Plasma,standard_unit,units,mg/L,
C-Reactive Protein Plasma,test_code,terms,LBTESTCD:CRP,
C-Reactive Protein Plasma,test_name,terms,LBTEST:C Reactive Protein,
Date of Birth,domain,terms,DOMAIN:DM,
Date of Birth,finding_category,terms,FINDCAT:DEMOGRAPHY,
Location of Death Occurrence,categoric_finding_original_result,,,
Location of Death Occurrence,domain,terms,DOMAIN:ZA,
Location of Death Occurrence,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Location of Death Occurrence,test_code,terms,ZATESTCD:DEATHLOC,
Location of Death Occurrence,test_name,terms,ZATEST:Death Location,
eGFR Using CKD-EPI Formula,numeric_finding_original_result,,,
eGFR Using CKD-EPI Formula,numeric_finding_original_result_unit,,,
eGFR Using CKD-EPI Formula,specimen,,,
eGFR Using CKD-EPI Formula,domain,terms,DOMAIN:LB,
eGFR Using CKD-EPI Formula,finding_category,terms,FINDCAT:BIOCHEMISTRY,
eGFR Using CKD-EPI Formula,unit_dimension,terms,UNITDIM:VOLUMETRIC FLOW RATE,
eGFR Using CKD-EPI Formula,standard_unit,units,mL/min/1.73m2,
eGFR Using CKD-EPI Formula,loinc,,,
eGFR Using CKD-EPI Formula,test_code,terms,LBTESTCD:GFRE,
eGFR Using CKD-EPI Formula,test_name,terms,"LBTEST:Glomerular Filtration Rate, Estimated",
"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",categoric_finding_original_result,,,
"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",domain,terms,DOMAIN:ZA,
"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",finding_category,terms,FINDCAT:EVENT ADJUDICATION,
"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",test_code,terms,ZATESTCD:LEVELENZ,
"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",test_name,terms,ZATEST:Elevated Pancreatic Enzymes,
Subject Eligible to Continue the Trial,domain,terms,DOMAIN:DS,
Subject Eligible to Continue the Trial,finding_category,terms,FINDCAT:PROTOCOL MILESTONE,
Subject Eligible to Continue the Trial,test_code,terms,PROTMLSTCD:ELIGIBILITY CRITERIA MET,
Subject Eligible to Continue the Trial,test_name,terms,PROTMLST:ELIGIBILITY CRITERIA MET,
End of Study,domain,terms,DOMAIN:DS,
End of Study,finding_category,terms,FINDCAT:DISPOSITION EVENT,
Eosinophils Blood,numeric_finding_original_result,,,
Eosinophils Blood,numeric_finding_original_result_unit,,,
Eosinophils Blood,specimen,,,
Eosinophils Blood,domain,terms,DOMAIN:LB,
Eosinophils Blood,finding_category,terms,FINDCAT:HAEMATOLOGY,
Eosinophils Blood,finding_subcategory,terms,FINDSCAT:DIFFERENTIAL COUNT,
Eosinophils Blood,unit_dimension,terms,UNITDIM:CELL COUNT,
Eosinophils Blood,standard_unit,units,10^9/L,
Eosinophils Blood,loinc,,,
Eosinophils Blood,test_code,terms,LBTESTCD:EOS,
Eosinophils Blood,test_name,terms,LBTEST:Eosinophils,
Eosinophils Cell Count (AE),numeric_finding_original_result,,,
Eosinophils Cell Count (AE),numeric_finding_original_result_unit,,,
Eosinophils Cell Count (AE),domain,terms,DOMAIN:LB,
Eosinophils Cell Count (AE),finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Eosinophils Cell Count (AE),unit_dimension,terms,UNITDIM:CELL COUNT,
Eosinophils Cell Count (AE),standard_unit,units,10^9/L,
Eosinophils Cell Count (AE),test_code,terms,LBTESTCD:EOS,
Eosinophils Cell Count (AE),test_name,terms,LBTEST:Eosinophils,
Erythrocytes,numeric_finding_original_result,,,
Erythrocytes,numeric_finding_original_result_unit,,,
Erythrocytes,specimen,,,
Erythrocytes,domain,terms,DOMAIN:LB,
Erythrocytes,finding_category,terms,FINDCAT:HAEMATOLOGY,
Erythrocytes,unit_dimension,terms,UNITDIM:CELL COUNT,
Erythrocytes,standard_unit,units,10^12/L,
Erythrocytes,loinc,,,
Erythrocytes,test_code,terms,LBTESTCD:RBC,
Erythrocytes,test_name,terms,LBTEST:Erythrocytes,
Estimated GFR,numeric_finding_original_result,,,
Estimated GFR,numeric_finding_original_result_unit,,,
Estimated GFR,domain,terms,DOMAIN:LB,
Estimated GFR,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Estimated GFR,unit_dimension,terms,UNITDIM:FLOW,
Estimated GFR,standard_unit,units,mL/min,
Estimated GFR,test_code,terms,LBTESTCD:GFRE,
Estimated GFR,test_name,terms,"LBTEST:Glomerular Filtration Rate, Estimated",
Ethnicity,categoric_finding_original_result,,,
Ethnicity,domain,terms,DOMAIN:DM,
Ethnicity,finding_category,terms,FINDCAT:DEMOGRAPHY,
Evaluated Event Onset Date,textual_finding_original_result,,,
Evaluated Event Onset Date,domain,terms,DOMAIN:ZA,
Evaluated Event Onset Date,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Evaluated Event Onset Date,test_code,terms,ZATESTCD:EVALDATE,
Evaluated Event Onset Date,test_name,terms,ZATEST:Evaluated Event Onset Date,
Event Confirmation,categoric_finding_original_result,,,
Event Confirmation,domain,terms,DOMAIN:ZA,
Event Confirmation,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Event Confirmation,test_code,terms,ZATESTCD:EVENCONF,
Event Confirmation,test_name,terms,ZATEST:Event Confirmation,
First Date on Trial Product,domain,terms,DOMAIN:DS,
First Date on Trial Product,finding_category,terms,FINDCAT:PROTOCOL MILESTONE,
First Date on Trial Product,test_code,terms,PROTMLSTCD:FIRST DATE ON TRIAL PRODUCT,
First Date on Trial Product,test_name,terms,PROTMLST:FIRST DATE ON TRIAL PRODUCT,
Fasting Plasma Glucose,numeric_finding_original_result,,,
Fasting Plasma Glucose,numeric_finding_original_result_unit,,,
Fasting Plasma Glucose,specimen,,,
Fasting Plasma Glucose,domain,terms,DOMAIN:LB,
Fasting Plasma Glucose,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Fasting Plasma Glucose,unit_dimension,terms,UNITDIM:CONCENTRATION,
Fasting Plasma Glucose,standard_unit,units,mmol/L,
Fasting Plasma Glucose,molecular_weight,,,
Fasting Plasma Glucose,loinc,,,
Fasting Plasma Glucose,test_code,terms,LBTESTCD:GLUC,
Fasting Plasma Glucose,test_name,terms,LBTEST:Glucose,
Fasting Serum Glucose,numeric_finding_original_result,,,
Fasting Serum Glucose,numeric_finding_original_result_unit,,,
Fasting Serum Glucose,specimen,,,
Fasting Serum Glucose,domain,terms,DOMAIN:LB,
Fasting Serum Glucose,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Fasting Serum Glucose,unit_dimension,terms,UNITDIM:CONCENTRATION,
Fasting Serum Glucose,standard_unit,units,mmol/L,
Fasting Serum Glucose,molecular_weight,,,
Fasting Serum Glucose,test_code,terms,LBTESTCD:GLUC,
Fasting Serum Glucose,test_name,terms,LBTEST:Glucose,
Insulin Serum-Fasting,numeric_finding_original_result,,,
Insulin Serum-Fasting,numeric_finding_original_result_unit,,,
Insulin Serum-Fasting,specimen,,,
Insulin Serum-Fasting,domain,terms,DOMAIN:LB,
Insulin Serum-Fasting,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Insulin Serum-Fasting,unit_dimension,terms,UNITDIM:CONCENTRATION,
Insulin Serum-Fasting,standard_unit,units,pmol/L,
Insulin Serum-Fasting,molecular_weight,,,
Insulin Serum-Fasting,loinc,,,
Insulin Serum-Fasting,test_code,terms,LBTESTCD:INSULIN,
Insulin Serum-Fasting,test_name,terms,LBTEST:Insulin,
Gamma Glutamyl Transferase,numeric_finding_original_result,,,
Gamma Glutamyl Transferase,numeric_finding_original_result_unit,,,
Gamma Glutamyl Transferase,domain,terms,DOMAIN:LB,
Gamma Glutamyl Transferase,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Gamma Glutamyl Transferase,unit_dimension,terms,UNITDIM:CONCENTRATION,
Gamma Glutamyl Transferase,standard_unit,units,mg/L,
Gamma Glutamyl Transferase,test_code,terms,LBTESTCD:GGT,
Gamma Glutamyl Transferase,test_name,terms,LBTEST:Gamma Glutamyl Transferase,
GGT,numeric_finding_original_result,,,
GGT,numeric_finding_original_result_unit,,,
GGT,specimen,,,
GGT,domain,terms,DOMAIN:LB,
GGT,finding_category,terms,FINDCAT:BIOCHEMISTRY,
GGT,unit_dimension,terms,UNITDIM:U_IU Concentration,
GGT,standard_unit,units,U/L,
GGT,loinc,,,
GGT,test_code,terms,LBTESTCD:GGT,
GGT,test_name,terms,LBTEST:Gamma Glutamyl Transferase,
Plasma Glucagon,numeric_finding_original_result,,,
Plasma Glucagon,numeric_finding_original_result_unit,,,
Plasma Glucagon,specimen,,,
Plasma Glucagon,domain,terms,DOMAIN:LB,
Plasma Glucagon,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Plasma Glucagon,unit_dimension,terms,UNITDIM:CONCENTRATION,
Plasma Glucagon,standard_unit,units,pg/mL,
Plasma Glucagon,molecular_weight,,,
Plasma Glucagon,test_code,terms,LBTESTCD:GLUCAGON,
Plasma Glucagon,test_name,terms,LBTEST:Glucagon,
Serum Glucagon,numeric_finding_original_result,,,
Serum Glucagon,numeric_finding_original_result_unit,,,
Serum Glucagon,specimen,,,
Serum Glucagon,domain,terms,DOMAIN:LB,
Serum Glucagon,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Serum Glucagon,unit_dimension,terms,UNITDIM:CONCENTRATION,
Serum Glucagon,standard_unit,units,pg/mL,
Serum Glucagon,molecular_weight,,,
Serum Glucagon,test_code,terms,LBTESTCD:GLUCAGON,
Serum Glucagon,test_name,terms,LBTEST:Glucagon,
Glucose,numeric_finding_original_result,,,
Glucose,numeric_finding_original_result_unit,,,
Glucose,domain,terms,DOMAIN:LB,
Glucose,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Glucose,unit_dimension,terms,UNITDIM:CONCENTRATION,
Glucose,standard_unit,units,mmol/L,
Glucose,molecular_weight,,,
Glucose,test_code,terms,LBTESTCD:GLUC,
Glucose,test_name,terms,LBTEST:Glucose,
Blood Glucose,numeric_finding_original_result,,,
Blood Glucose,numeric_finding_original_result_unit,,,
Blood Glucose,specimen,,,
Blood Glucose,domain,terms,DOMAIN:LB,
Blood Glucose,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Blood Glucose,unit_dimension,terms,UNITDIM:CONCENTRATION,
Blood Glucose,standard_unit,units,mmol/L,
Blood Glucose,molecular_weight,,,
Blood Glucose,test_code,terms,LBTESTCD:GLUC,
Blood Glucose,test_name,terms,LBTEST:Glucose,
Glucose Urine,categoric_finding_original_result,,,
Glucose Urine,specimen,,,
Glucose Urine,domain,terms,DOMAIN:LB,
Glucose Urine,finding_category,terms,FINDCAT:URINALYSIS,
Glucose Urine,test_code,terms,LBTESTCD:GLUC,
Glucose Urine,test_name,terms,LBTEST:Glucose,
"Glucose, Plasma, Glucose Metabolism",numeric_finding_original_result,,,
"Glucose, Plasma, Glucose Metabolism",numeric_finding_original_result_unit,,,
"Glucose, Plasma, Glucose Metabolism",specimen,,,
"Glucose, Plasma, Glucose Metabolism",domain,terms,DOMAIN:LB,
"Glucose, Plasma, Glucose Metabolism",finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
"Glucose, Plasma, Glucose Metabolism",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Glucose, Plasma, Glucose Metabolism",standard_unit,units,mmol/L,
"Glucose, Plasma, Glucose Metabolism",molecular_weight,,,
"Glucose, Plasma, Glucose Metabolism",test_code,terms,LBTESTCD:GLUC,
"Glucose, Plasma, Glucose Metabolism",test_name,terms,LBTEST:Glucose,
"Glucose, Serum",numeric_finding_original_result,,,
