oid,name,repeating,is_reference_data,sas_dataset_name,origin,purpose,comment,sdtm_domains,translated_texts,aliases
ImportedInstance_G_188,Treadmill - Pain-Free Walking Distance on Inclined Treadmill,No,No,,Collected Value,Tabulation,,FT,,a::Group aliases
ImportedInstance_G_189,Treadmill - Max Walking Distance on Inclined Treadmill,No,No,,Collected Value,Tabulation,,FT,,a::Group aliases
ImportedInstance_G_190,TOAST Classification,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_191,"Total Protein, g/dL",No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_192,Type of Heart Failure,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_193,Type of Myocardial Infarction,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_194,Type of Stroke,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_195,Leukocytes,No,No,,Collected Value,Tabulation,,LB,"Description::en::Not all activity items included, see design notes||osb:DesignNotes::en::Unused activity items: loinc  ",a::Group aliases
ImportedInstance_G_196,Unconscious/Coma,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_197,Undetermined Etiology Reason,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_198,Details in Source Data,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_199,Urine Culture,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_200,Urine Microscopy,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_201,Have All Urine Samples Been Taken,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_202,Urobilinogen,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_203,Urobilinogen Urine,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_204,Waist Circumference,No,No,,Collected Value,Tabulation,,VS,,a::Group aliases
ImportedInstance_G_205,White Blood Cells,No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_206,"Leukocytes in Urine, AE Requiring Additional Data",No,No,,Collected Value,Tabulation,,LB,,a::Group aliases
ImportedInstance_G_207,"Leukocytes in Urine, Urinalysis",No,No,,Collected Value,Tabulation,,LB,"Description::en::Not all activity items included, see design notes||osb:DesignNotes::en::Unused activity items: loinc  ",a::Group aliases
