oid,name,prompt,datatype,length,significant_digits,sas_field_name,sds_var_name,origin,comment,unit_definitions,external_question,codelist_submission_value,terms,translated_texts,aliases
ImportedInstance_Item_99,Location of Death Occurrence,Location of Death Occurrence,string,20,,,ZA:ZAORRES where ZATESTCD=['DEATHLOC'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_100,eGFR Using CKD-EPI Formula,eGFR Using CKD-EPI Formula,integer,3,,,LB:LBORRES where LBTESTCD=['GFRE'],Collected Value,FINDCAT:BIOCHEMISTRY,mL/min/1.73m2,,,,,
ImportedInstance_Item_101,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_102,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",string,20,,,ZA:ZAORRES where ZATESTCD=['LEVELENZ'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_103,Eosinophils Blood,Eosinophils Blood,integer,3,,,LB:LBORRES where LBTESTCD=['EOS'],Collected Value,FINDCAT:HAEMATOLOGY,10^9/L,,,,,
ImportedInstance_Item_104,specimen,specimen,string,20,,,,Collected Value,FINDCAT:HAEMATOLOGY,,,,,,
ImportedInstance_Item_105,Eosinophils Cell Count (AE),Eosinophils Cell Count (AE),integer,3,,,LB:LBORRES where LBTESTCD=['EOS'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,10^9/L,,,,,
ImportedInstance_Item_106,Erythrocytes,Erythrocytes,integer,3,,,LB:LBORRES where LBTESTCD=['RBC'],Collected Value,FINDCAT:HAEMATOLOGY,10^12/L,,,,,
ImportedInstance_Item_107,specimen,specimen,string,20,,,,Collected Value,FINDCAT:HAEMATOLOGY,,,,,,
ImportedInstance_Item_108,Estimated GFR,Estimated GFR,integer,3,,,LB:LBORRES where LBTESTCD=['GFRE'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mL/min,,,,,
ImportedInstance_Item_109,Ethnicity,Ethnicity,string,20,,,,Collected Value,FINDCAT:DEMOGRAPHY,,,,,,
ImportedInstance_Item_110,Evaluated Event Onset Date,Evaluated Event Onset Date,string,20,,,ZA:ZAORRES where ZATESTCD=['EVALDATE'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_111,Event Confirmation,Event Confirmation,string,20,,,ZA:ZAORRES where ZATESTCD=['EVENCONF'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_112,Fasting Plasma Glucose,Fasting Plasma Glucose,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_113,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_114,Fasting Serum Glucose,Fasting Serum Glucose,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_115,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_116,Insulin Serum-Fasting,Insulin Serum-Fasting,integer,3,,,LB:LBORRES where LBTESTCD=['INSULIN'],Collected Value,FINDCAT:GLUCOSE METABOLISM,pmol/L,,,,,
ImportedInstance_Item_117,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_118,Gamma Glutamyl Transferase,Gamma Glutamyl Transferase,integer,3,,,LB:LBORRES where LBTESTCD=['GGT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mg/L,,,,,
ImportedInstance_Item_119,GGT,GGT,integer,3,,,LB:LBORRES where LBTESTCD=['GGT'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_120,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_121,Plasma Glucagon,Plasma Glucagon,integer,3,,,LB:LBORRES where LBTESTCD=['GLUCAGON'],Collected Value,FINDCAT:GLUCOSE METABOLISM,pg/mL,,,,,
ImportedInstance_Item_122,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_123,Serum Glucagon,Serum Glucagon,integer,3,,,LB:LBORRES where LBTESTCD=['GLUCAGON'],Collected Value,FINDCAT:GLUCOSE METABOLISM,pg/mL,,,,,
ImportedInstance_Item_124,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_125,Glucose,Glucose,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mmol/L,,,,,
ImportedInstance_Item_126,Blood Glucose,Blood Glucose,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_127,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_128,Glucose Urine,Glucose Urine,string,20,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_129,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_130,"Glucose, Plasma, Glucose Metabolism","Glucose, Plasma, Glucose Metabolism",integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_131,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_132,"Glucose, Serum","Glucose, Serum",integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_133,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_134,Glucose Dipstick,Glucose Dipstick,string,20,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_135,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_136,HbA1c,HbA1c,integer,3,,,LB:LBORRES where LBTESTCD=['HBA1C'],Collected Value,FINDCAT:GLUCOSE METABOLISM,%,,,,,
ImportedInstance_Item_137,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_138,Heart Failure Classification,Heart Failure Classification,string,20,,,ZA:ZAORRES where ZATESTCD=['HTFAILCL'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_139,Height,Height,integer,3,,,VS:VSORRES where VSTESTCD=['HEIGHT'],Collected Value,FINDCAT:BODY MEASUREMENT,m,,,,,
ImportedInstance_Item_140,Hip Circumference,Hip Circumference,integer,3,,,VS:VSORRES where VSTESTCD=['HIPCIR'],Collected Value,FINDCAT:BODY MEASUREMENT,cm,,,,,
ImportedInstance_Item_141,Did the Subject Feel Better After the Treatment,Did the Subject Feel Better After the Treatment,string,20,,,ZA:ZAORRES where ZATESTCD=['FEELBETT'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_142,International Normalized Ratio,International Normalized Ratio,integer,3,,,LB:LBORRES where LBTESTCD=['INR'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,ratio,,,,,
ImportedInstance_Item_143,INR,INR,integer,3,,,LB:LBORRES where LBTESTCD=['INR'],Collected Value,FINDCAT:COAGULATION PARAMETER,ratio,,,,,
ImportedInstance_Item_144,specimen,specimen,string,20,,,,Collected Value,FINDCAT:COAGULATION PARAMETER,,,,,,
ImportedInstance_Item_145,Human Insulin,Human Insulin,integer,3,,,LB:LBORRES where LBTESTCD=['INSULIN'],Collected Value,FINDCAT:GLUCOSE METABOLISM,pmol/L,,,,,
ImportedInstance_Item_146,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_147,Insulin Serum,Insulin Serum,integer,3,,,LB:LBORRES where LBTESTCD=['INSULIN'],Collected Value,FINDCAT:GLUCOSE METABOLISM,pmol/L,,,,,
ImportedInstance_Item_148,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_149,"Lipase, AE Requiring Additional Data","Lipase, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['LIPASET'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,U/L,,,,,
ImportedInstance_Item_150,"Lipase, Biochemistry","Lipase, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['LIPASET'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_151,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_152,Glomerular Filtration Rate,Glomerular Filtration Rate,integer,3,,,LB:LBORRES where LBTESTCD=['GFR'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mL/min,,,,,
ImportedInstance_Item_153,Method of Coronary Revascularisation,Method of Coronary Revascularisation,string,20,,,ZA:ZAORRES where ZATESTCD=['METHOCRV'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_154,"Nitrite, AE Requiring Additional Data","Nitrite, AE Requiring Additional Data",string,20,,,LB:LBORRES where LBTESTCD=['NITRITE'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_155,Urine Nitrite,Urine Nitrite,string,20,,,LB:LBORRES where LBTESTCD=['NITRITE'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_156,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_157,"Nitrite, Urinalysis","Nitrite, Urinalysis",string,20,,,LB:LBORRES where LBTESTCD=['NITRITE'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_158,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_159,Other Adjudicated Event Type,Other Adjudicated Event Type,string,20,,,ZA:ZAORRES where ZATESTCD=['OTADEVTY'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_160,Oxygen Saturation,Oxygen Saturation,integer,3,,,VS:VSORRES where VSTESTCD=['OXYSAT'],Collected Value,FINDCAT:VITAL SIGNS,%,,,,,
ImportedInstance_Item_161,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,string,20,,,QS:QSORRES where QSTESTCD=['PAIN0102'],Collected Value,FINDCAT:PAIN RATING,,,,,,
ImportedInstance_Item_162,Significant Upper Abdominal Pain,Significant Upper Abdominal Pain,string,20,,,FA:FAORRES where FATESTCD=['PANABPN'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_163,Any Acute Complications,Any Acute Complications,string,20,,,FA:FAORRES where FATESTCD=['PANACOMP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_164,Other Acute Pancreatitis Symptom,Other Acute Pancreatitis Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANCONOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_165,Risk Factor - Alcohol Consumption,Risk Factor - Alcohol Consumption,string,20,,,FA:FAORRES where FATESTCD=['PANALCON'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_166,Atrophy of the Pancreas,Atrophy of the Pancreas,string,20,,,FA:FAORRES where FATESTCD=['PANATROP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_167,Calcification of Pancreas,Calcification of Pancreas,string,20,,,FA:FAORRES where FATESTCD=['PANCALCI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_168,Other Chronic Pancreatitis Symptom,Other Chronic Pancreatitis Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANCHROT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_169,Imaging Method - CT Scan,Imaging Method - CT Scan,string,20,,,FA:FAORRES where FATESTCD=['PANCT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_170,Dilatation of Pancreatic Ducts,Dilatation of Pancreatic Ducts,string,20,,,FA:FAORRES where FATESTCD=['PANDILPD'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_171,Dilated Common Bile Duct,Dilated Common Bile Duct,string,20,,,FA:FAORRES where FATESTCD=['PANDILDU'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_172,Risk Factor -Family Hist of Pancreatitis,Risk Factor -Family Hist of Pancreatitis,string,20,,,FA:FAORRES where FATESTCD=['PANFHISP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_173,Fever as Symptom,Fever as Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANFEVER'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_174,Acute Complications - GI Haemorrhage,Acute Complications - GI Haemorrhage,string,20,,,FA:FAORRES where FATESTCD=['PANGIHEM'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_175,Risk Factor - History of Gallstones,Risk Factor - History of Gallstones,string,20,,,FA:FAORRES where FATESTCD=['PANHGALS'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_176,Risk Factor - Hyper-Calcaemia,Risk Factor - Hyper-Calcaemia,string,20,,,FA:FAORRES where FATESTCD=['PANHYCAL'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_177,Risk Factor - Hyper-Triglyceridemia,Risk Factor - Hyper-Triglyceridemia,string,20,,,FA:FAORRES where FATESTCD=['PANHTGLY'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_178,Imaging Consistent with Acute Pan,Imaging Consistent with Acute Pan,string,20,,,FA:FAORRES where FATESTCD=['PANIACON'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_179,Imaging Consistent with Chronic Pan,Imaging Consistent with Chronic Pan,string,20,,,FA:FAORRES where FATESTCD=['PANICCON'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_180,Imaging Consistent with Gallstone,Imaging Consistent with Gallstone,string,20,,,FA:FAORRES where FATESTCD=['PANIGCON'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_181,Was Imaging Performed,Was Imaging Performed,string,20,,,FA:FAORRES where FATESTCD=['PANIMAPE'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_182,Imaging Method - MRI,Imaging Method - MRI,string,20,,,FA:FAORRES where FATESTCD=['PANMRI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_183,Nausea as Symptom,Nausea as Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANNASEA'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_184,Necrotising Pancreatitis,Necrotising Pancreatitis,string,20,,,FA:FAORRES where FATESTCD=['PANNECRP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_185,Obstructive Gall-Stone,Obstructive Gall-Stone,string,20,,,FA:FAORRES where FATESTCD=['PANOBSTR'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_186,Oedematous or Interstitial Pancreatitis,Oedematous or Interstitial Pancreatitis,string,20,,,FA:FAORRES where FATESTCD=['PANOEDIP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_187,Imaging Method - Other,Imaging Method - Other,string,20,,,FA:FAORRES where FATESTCD=['PANIMAOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_188,Acute Complications - Other,Acute Complications - Other,string,20,,,FA:FAORRES where FATESTCD=['PANACOOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_189,Risk Factor - Other,Risk Factor - Other,string,20,,,FA:FAORRES where FATESTCD=['PANRISOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_190,Other Symptom,Other Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANSYOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_191,Peri-Pancreatic Fluid,Peri-Pancreatic Fluid,string,20,,,FA:FAORRES where FATESTCD=['PANPERPF'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_192,Pseudocysts,Pseudocysts,string,20,,,FA:FAORRES where FATESTCD=['PANPSEUD'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_193,Acute Complications - Renal Failure,Acute Complications - Renal Failure,string,20,,,FA:FAORRES where FATESTCD=['PANRENFD'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_194,Acute Complications -Respiratory Failure,Acute Complications -Respiratory Failure,string,20,,,FA:FAORRES where FATESTCD=['PANRESFV'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_195,Pancreatitis Risk Factors,Pancreatitis Risk Factors,string,20,,,FA:FAORRES where FATESTCD=['PANRRFAC'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_196,Acute Complications - Sepsis,Acute Complications - Sepsis,string,20,,,FA:FAORRES where FATESTCD=['PANSEPSI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_197,Symptoms Present During Event,Symptoms Present During Event,string,20,,,FA:FAORRES where FATESTCD=['PANSYMP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_198,Risk Factor - Trauma to the Pancreas,Risk Factor - Trauma to the Pancreas,string,20,,,FA:FAORRES where FATESTCD=['PANTRUMA'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_199,Treatment Type,Treatment Type,string,20,,,FA:FAORRES where FATESTCD=['PANTRT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_200,Imaging Method - Ultrasound,Imaging Method - Ultrasound,string,20,,,FA:FAORRES where FATESTCD=['PANULTRA'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_201,Vomiting as Symptom,Vomiting as Symptom,string,20,,,FA:FAORRES where FATESTCD=['PANVOMIT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_202,PH Dipstick,PH Dipstick,string,20,,,LB:LBORRES where LBTESTCD=['PH'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_203,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_204,Urine pH,Urine pH,integer,3,,,LB:LBORRES where LBTESTCD=['PH'],Collected Value,FINDCAT:URINALYSIS,no unit,,,,,
ImportedInstance_Item_205,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_206,Platelets,Platelets,integer,3,,,LB:LBORRES where LBTESTCD=['PLAT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,10^9/L,,,,,
ImportedInstance_Item_207,"Potassium, AE Requiring Additional Data","Potassium, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['K'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mmol/L,,,,,
ImportedInstance_Item_208,"Potassium, Biochemistry","Potassium, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['K'],Collected Value,FINDCAT:BIOCHEMISTRY,mmol/L,,,,,
ImportedInstance_Item_209,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_210,Protein,Protein,integer,3,,,LB:LBORRES where LBTESTCD=['PROT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,g/L,,,,,
ImportedInstance_Item_211,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_212,"Prothrombin Time, AE Requiring Additional Data","Prothrombin Time, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['PT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,s,,,,,
ImportedInstance_Item_213,"Protein Urine, Stick","Protein Urine, Stick",string,20,,,LB:LBORRES where LBTESTCD=['PROT'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_214,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_215,"Prothrombin Time, Plasma","Prothrombin Time, Plasma",integer,3,,,LB:LBORRES where LBTESTCD=['PT'],Collected Value,FINDCAT:COAGULATION PARAMETER,s,,,,,
ImportedInstance_Item_216,specimen,specimen,string,20,,,,Collected Value,FINDCAT:COAGULATION PARAMETER,,,,,,
ImportedInstance_Item_217,Pulse,Pulse,integer,3,,,VS:VSORRES where VSTESTCD=['PULSE'],Collected Value,FINDCAT:VITAL SIGNS,beats/min,,,,,
ImportedInstance_Item_218,position,position,string,20,,,VS:VSPOSITION,Collected Value,FINDCAT:VITAL SIGNS,,,POSITION,SUPINE||SITTING,,
ImportedInstance_Item_219,Race,Race,string,20,,,,Collected Value,FINDCAT:DEMOGRAPHY,,,,,,
ImportedInstance_Item_220,"Erythrocytes in Urine, AE Requiring Additional Data","Erythrocytes in Urine, AE Requiring Additional Data",string,20,,,LB:LBORRES where LBTESTCD=['RBC'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_221,"Erythrocytes in Urine, Urinalysis","Erythrocytes in Urine, Urinalysis",string,20,,,LB:LBORRES where LBTESTCD=['RBC'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_222,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_223,Reason for Undetermined Death Cause 1,Reason for Undetermined Death Cause 1,string,20,,,ZA:ZAORRES where ZATESTCD=['REASDEA1'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_224,Respiratory Rate,Respiratory Rate,integer,3,,,VS:VSORRES where VSTESTCD=['RESP'],Collected Value,FINDCAT:VITAL SIGNS,breaths/min,,,,,
ImportedInstance_Item_225,Seizure,Seizure,string,20,,,ZA:ZAORRES where ZATESTCD=['HYSEIZUR'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_226,"Creatinine, AE Requiring Additional Data","Creatinine, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['CREAT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,umol/L,,,,,
ImportedInstance_Item_227,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_228,Severe Acute Upper Abdominal Pain,Severe Acute Upper Abdominal Pain,string,20,,,ZA:ZAORRES where ZATESTCD=['ACUTPAIN'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_229,Severity of Pancreatitis,Severity of Pancreatitis,string,20,,,ZA:ZAORRES where ZATESTCD=['SEVPANCR'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_230,Sex,Sex,string,20,,,,Collected Value,FINDCAT:DEMOGRAPHY,,,,,,
ImportedInstance_Item_231,"Sodium, AE Requiring Additional Data","Sodium, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['SODIUM'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mmol/L,,,,,
ImportedInstance_Item_232,"Sodium, Biochemistry","Sodium, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['SODIUM'],Collected Value,FINDCAT:BIOCHEMISTRY,mmol/L,,,,,
ImportedInstance_Item_233,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_234,Source of Adjudicated Event,Source of Adjudicated Event,string,20,,,ZA:ZAORRES where ZATESTCD=['SOURADEV'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_235,Subject Fasting,Subject Fasting,string,20,,,LB:LBORRES where LBTESTCD=['FASTYN'],Collected Value,FINDCAT:COLLECTION OF SAMPLES,,,,,,
ImportedInstance_Item_236,Subject Died,Subject Died,string,20,,,ZA:ZAORRES where ZATESTCD=['SUBJDIED'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_237,Symptom of Pancreatitis 1,Symptom of Pancreatitis 1,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMPANC1'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_238,Symptom of Pancreatitis 2,Symptom of Pancreatitis 2,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMPANC2'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_239,Symptom of Pancreatitis 3,Symptom of Pancreatitis 3,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMPANC3'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_240,Symptom of Unstable Angina Pectoris 1,Symptom of Unstable Angina Pectoris 1,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMUNMI1'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_241,Symptom of Unstable Angina Pectoris 2,Symptom of Unstable Angina Pectoris 2,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMUNMI2'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_242,Symptom of Unstable Angina Pectoris 3,Symptom of Unstable Angina Pectoris 3,string,20,,,ZA:ZAORRES where ZATESTCD=['SYMUNMI3'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
